timestamp,CPU_0(group_0),CPU_2(group_1),CPU_4(group_1),CPU_6(group_1),CPU_8(group_1),CPU_10(group_1),CPU_12(group_2),CPU_14(group_3),CPU_16(group_3),CPU_18(group_3),CPU_20(group_3),CPU_22(group_3),CPU_24(group_3),CPU_26(group_4),CPU_28(group_5),CPU_64(group_0),CPU_66(group_1),CPU_68(group_1),CPU_70(group_1),CPU_72(group_1),CPU_74(group_1),CPU_76(group_2),CPU_78(group_3),CPU_80(group_3),CPU_82(group_3),CPU_84(group_3),CPU_86(group_3),CPU_88(group_3),CPU_90(group_4),CPU_92(group_5)
1768747895.4094272,12.5,0.0,0.0,0.0,9.1,0.0,2.0,0.0,1.0,0.0,0.0,0.0,14.3,0.0,100.0,0.0,1.0,2.0,0.0,0.0,9.1,12.1,0.0,0.0,11.2,0.0,0.0,3.0,0.0,100.0
1768747896.413612,16.5,0.0,0.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,13.1,0.0,100.0,1.0,0.0,1.0,0.0,1.0,1.0,12.4,0.0,0.0,8.0,0.0,0.0,2.0,0.0,100.0
1768747897.4170737,12.6,0.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,20.6,0.0,100.0,1.0,0.0,1.0,0.0,1.0,3.0,13.1,0.0,0.0,7.1,0.0,0.0,5.9,0.0,100.0
1768747898.420334,10.0,0.0,0.0,1.0,7.1,0.0,2.0,0.0,4.1,10.0,1.0,1.0,12.4,3.0,100.0,1.0,0.0,2.0,0.0,1.0,0.0,8.1,0.0,0.0,7.1,2.0,1.0,3.1,0.0,100.0
1768747899.5804949,10.8,2.0,1.0,1.0,7.2,2.0,0.0,0.0,13.0,7.1,3.0,1.0,9.2,16.2,100.0,3.0,1.0,2.0,1.0,2.0,1.0,11.1,0.0,0.0,0.0,0.0,3.0,5.1,0.0,100.0
1768747900.5847862,15.1,0.0,0.0,1.0,3.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,5.2,7.1,100.0,0.0,0.0,1.0,0.0,0.0,0.0,4.1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
1768747901.58922,15.7,0.0,0.0,0.0,4.0,3.0,1.0,0.0,15.3,15.3,0.0,1.0,17.3,7.1,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,100.0
1768747902.5927522,14.3,0.0,0.0,0.0,3.0,2.0,0.0,0.0,8.1,11.1,0.0,0.0,19.4,20.0,100.0,0.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
1768747903.597173,15.0,0.0,0.0,0.0,7.0,3.0,0.0,1.0,2.0,2.0,0.0,1.0,24.2,10.2,100.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.1,0.0,100.0
1768747904.6009643,12.5,0.0,0.0,0.0,7.9,0.0,0.0,0.0,4.0,3.0,1.0,1.0,11.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.9,2.0,1.0,1.0,0.0,100.0
1768747905.6043756,11.8,0.0,0.0,0.0,11.1,0.0,0.0,1.0,15.3,4.0,4.0,0.0,13.1,0.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,15.2,0.0,1.0,6.1,0.0,0.0,1.0,2.0,100.0
1768747906.607387,13.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,8.1,12.1,2.0,16.3,1.0,100.0,1.0,0.0,1.0,0.0,2.0,1.0,7.1,2.0,0.0,1.0,0.0,2.0,1.0,1.0,100.0
1768747907.6112335,12.5,0.0,0.0,0.0,5.1,0.0,1.0,0.0,0.0,12.0,15.2,1.0,8.2,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,7.0,1.0,100.0
1768747908.6153033,11.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.2,8.2,2.0,17.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,9.1,1.0,1.0,0.0,0.0,1.0,5.1,1.0,100.0
1768747909.6203532,13.3,0.0,0.0,1.0,7.0,0.0,0.0,2.0,2.0,15.2,2.0,3.1,15.5,0.0,100.0,1.0,0.0,2.0,0.0,0.0,0.0,14.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0
