timestamp,CPU_0(group_0),CPU_64(group_0),CPU_2(group_0),CPU_66(group_0),CPU_4(group_0),CPU_68(group_0),CPU_6(group_0),CPU_70(group_0),CPU_8(group_0),CPU_72(group_0),CPU_10(group_0),CPU_74(group_0),CPU_12(group_0),CPU_76(group_0),CPU_14(group_0),CPU_78(group_0),CPU_16(group_0),CPU_80(group_0),CPU_18(group_0),CPU_82(group_0),CPU_20(group_0),CPU_84(group_0)
1770631238.0156815,40.0,45.5,41.0,40.2,46.5,39.6,42.2,43.7,45.5,43.1,46.5,42.6,40.6,44.0,34.3,43.7,35.0,38.6,42.6,35.6,36.9,44.6
1770631239.0157573,36.0,41.7,45.1,42.6,42.6,38.8,44.6,41.2,44.1,41.6,46.1,39.2,33.0,40.6,28.7,38.6,40.2,36.3,35.6,37.6,38.0,41.7
1770631240.0158546,41.2,36.6,38.0,39.6,45.0,33.0,37.3,36.3,36.6,40.2,43.1,39.6,43.6,38.0,32.4,42.6,28.0,34.3,47.6,36.9,27.7,42.6
1770631241.015929,43.6,40.2,43.6,47.1,43.7,38.6,46.5,32.7,49.5,33.0,44.6,41.3,34.3,43.7,47.6,43.1,52.4,44.7,41.0,36.0,41.2,41.6
1770631242.0166998,46.0,30.0,34.3,40.2,34.7,50.0,33.3,42.2,41.6,37.5,32.7,41.6,34.3,42.2,38.0,34.0,42.6,45.5,43.1,31.7,34.0,36.3
1770631243.0167942,46.5,46.1,38.2,48.1,41.4,44.1,40.8,44.1,35.6,36.6,44.7,46.5,46.0,42.2,38.8,42.7,44.6,41.6,48.1,39.2,45.1,49.0
1770631244.0168877,43.0,44.6,41.0,39.8,45.1,45.5,39.0,47.5,39.2,42.6,42.0,38.2,44.6,41.2,51.5,43.1,52.5,41.6,47.5,49.0,48.0,46.5
1770631245.0169544,46.6,44.6,49.5,40.6,40.0,45.1,42.0,44.2,44.1,44.6,46.5,49.0,44.1,46.5,43.4,48.5,38.6,52.0,45.1,54.0,44.6,48.5
1770631246.0176399,52.0,52.0,50.5,46.5,58.0,48.5,44.1,53.0,41.0,49.0,45.1,54.0,54.9,48.0,42.6,52.0,49.5,42.6,46.0,54.4,45.1,48.0
1770631247.0177145,50.0,49.0,48.1,50.0,63.7,53.9,43.4,60.8,45.1,48.5,48.5,45.1,51.5,46.6,52.0,45.6,48.0,44.7,54.9,43.6,46.0,42.4
1770631248.0177977,47.0,51.5,46.5,51.5,51.0,49.5,49.5,51.5,53.5,51.5,45.5,46.5,56.0,52.0,46.5,54.5,55.4,41.0,53.0,46.1,52.9,46.1
1770631249.01786,51.5,49.0,43.4,45.5,48.5,43.6,48.0,52.9,38.2,49.0,41.6,45.5,40.4,52.0,46.1,52.9,56.3,54.5,55.8,61.0,50.5,47.6
1770631250.0179281,43.0,53.5,46.5,48.5,49.0,43.0,47.5,48.5,53.0,40.4,48.5,48.0,55.0,48.0,43.6,51.5,48.5,44.1,50.0,49.0,48.0,50.5
1770631251.0186656,53.0,48.5,52.5,41.6,50.5,43.6,53.5,52.9,53.5,48.5,45.1,51.0,49.5,53.5,43.1,59.8,47.5,48.5,46.5,50.0,38.4,49.5
1770631252.0187335,46.5,57.4,48.0,50.0,47.0,48.5,50.5,51.5,49.0,51.5,55.4,53.5,47.6,49.0,46.5,56.9,51.0,53.5,53.0,42.0,45.0,50.5
1770631253.0188065,51.0,55.4,57.8,46.1,48.5,39.8,44.6,50.0,46.6,46.1,50.5,46.5,44.4,51.5,50.0,48.5,46.5,52.9,50.5,50.5,45.5,49.0
1770631254.018852,54.9,43.6,48.5,52.0,54.0,49.0,45.0,45.5,41.6,54.5,45.5,51.5,47.5,49.5,54.5,44.6,45.0,50.5,54.0,47.1,47.6,45.6
