timestamp,CPU_0(group_0),CPU_64(group_0),CPU_2(group_0),CPU_66(group_0),CPU_4(group_1),CPU_68(group_1),CPU_6(group_1),CPU_70(group_1),CPU_8(group_2),CPU_72(group_2),CPU_10(group_2),CPU_74(group_2),CPU_12(group_3),CPU_76(group_3),CPU_14(group_3),CPU_78(group_3),CPU_16(group_4),CPU_80(group_4),CPU_18(group_4),CPU_82(group_4),CPU_20(group_5),CPU_84(group_5),CPU_22(group_5),CPU_86(group_5)
1770650953.1790771,29.9,26.0,30.3,29.0,24.2,23.2,30.0,38.6,63.6,63.4,55.0,64.7,31.7,34.0,31.4,32.4,52.0,55.6,56.0,54.5,41.4,41.4,37.4,41.4
1770650954.1795006,32.0,31.0,30.3,31.4,30.9,35.0,45.0,41.0,60.6,55.6,63.6,61.0,25.3,31.0,22.8,27.0,62.0,57.0,54.0,52.5,37.0,40.0,48.5,45.5
1770650955.1795683,35.7,28.3,25.3,27.6,44.6,22.9,31.3,45.0,62.0,54.0,60.4,62.6,25.0,30.0,25.5,27.3,49.0,49.0,54.5,52.5,56.1,56.4,59.0,51.0
1770650956.1796398,29.9,27.0,30.0,26.7,48.5,31.7,37.4,39.4,58.4,64.4,63.4,64.4,41.0,32.7,32.4,36.0,49.0,49.5,49.5,55.0,61.4,50.5,60.0,53.0
1770650957.1797256,30.6,33.3,36.4,32.0,30.3,37.4,45.5,29.3,67.3,57.0,55.4,65.7,43.7,45.1,44.6,46.6,52.0,43.0,48.5,46.5,63.0,48.5,49.0,51.5
1770650958.1798148,26.5,28.7,30.3,29.0,31.3,35.4,49.5,28.3,56.0,57.0,52.5,70.6,42.6,42.6,42.6,40.2,39.0,50.0,51.5,43.0,58.8,50.5,52.0,50.5
1770650959.179896,27.1,26.5,30.0,34.0,35.4,28.3,35.0,42.4,57.4,59.6,68.0,58.6,33.7,35.3,37.3,32.7,36.4,44.0,45.0,43.4,50.0,60.4,55.0,50.5
1770650960.1799653,33.3,24.5,26.0,27.7,38.0,29.3,39.0,34.3,63.4,60.0,58.4,58.4,29.3,31.7,26.0,25.7,54.0,46.9,50.0,47.5,63.7,58.0,54.5,55.4
1770650961.1800385,37.4,26.0,27.6,25.0,36.4,29.0,35.6,31.0,64.6,63.7,58.4,55.4,25.5,26.0,21.0,27.5,54.5,54.0,48.0,51.5,57.1,53.0,53.0,53.0
1770650962.1807477,26.8,31.7,28.3,27.0,47.0,31.6,37.8,29.3,59.4,57.6,64.4,62.6,29.7,29.4,27.7,29.7,46.5,51.0,51.5,47.5,56.9,48.5,54.0,53.0
1770650963.180856,32.0,28.3,28.3,34.7,27.8,40.0,32.3,22.0,68.0,60.8,65.0,60.4,40.6,50.0,41.0,39.0,49.5,52.0,52.0,50.0,52.5,57.6,54.0,54.5
1770650964.1809423,29.9,26.0,31.0,27.3,34.7,31.3,38.4,29.9,62.6,66.7,62.4,62.0,32.7,37.6,32.7,33.7,48.5,50.5,57.6,55.6,55.6,58.0,60.0,56.0
1770650965.181028,28.6,29.7,26.3,26.7,31.6,29.6,33.7,38.0,50.5,69.3,64.0,59.0,31.7,30.3,33.7,29.3,42.0,48.0,46.5,45.5,54.0,55.0,55.4,52.5
1770650966.1811004,32.3,30.0,31.0,27.0,34.0,17.2,31.7,30.0,55.4,59.4,69.0,58.4,32.7,33.7,32.4,37.3,49.0,43.9,45.5,38.8,49.5,42.4,45.9,52.5
1770650967.1811962,30.2,35.0,29.3,27.3,26.3,34.7,48.5,38.4,57.4,56.0,67.0,65.3,28.7,29.4,27.5,33.0,52.0,49.5,45.0,47.0,40.6,39.4,43.4,37.0
1770650968.1814244,30.6,31.7,29.7,28.7,45.0,28.3,26.0,48.5,53.0,60.4,61.4,69.3,27.5,24.0,26.0,32.4,51.5,43.9,50.0,44.0,37.0,50.0,35.4,38.4
1770650969.181509,33.3,27.6,29.9,25.3,53.0,35.6,35.7,40.4,65.3,57.6,59.6,61.0,32.3,29.3,30.0,30.0,61.6,53.5,57.6,50.0,52.5,60.0,48.0,55.6
